2,"cosa spinge robert f. #kennedy jr. ad esporsi fino al punto di sfidare pubblicamente la #merck, produttrice del vaccino #gardasil, a citarlo in giudizio per calunnie????? #vaccini  link"
0,"a pensare che fino a quando non ci sarà un vaccino, dovremmo stare sempre con le mascherine non so voi, ma a me prende un po’ male, già non riesco a respirarci ora, figuriamoci d’estate."
1,"borrelli: 'a casa anche il 1° maggio? credo di sì. serviranno molte settimane'. guerra (oms): 'il vaccino nel primo trimestre del 2021'  link"
0,"sentivo proprio la mancanza di qualche novax di stocazzo."
1,"video - coronavirus, ascierto: ""il tocilizumab funziona, vi spiego perchè, in autunno partirà a napoli la sperimentazione di un vaccino"" link"
1,"user purtroppo ti devo contraddire. vista la situazione di contagi e l‘inesistenza di un vaccino la misura adottata da tutto il mondo non è né assurda né inutile.  tutti bravi a parlare quando non si ha la responsabilità delle decisioni ve‘? ed io beninteso disprezzo questo governo."
1,"#borisjohnson tiene viva la sua teoria di lasciare che il #covidー19 si diffonda in attesa dell'immunità di gregge.

burioni: « non ha senso parlarne perché non abbiamo un vaccino e non sappiamo se l’infezione conferisce immunità ».

boris ma continui ad essere scemo forte però."
1,"bill gates chiamerà conte sul vaccino per il coronavirus link"
0,"vaccino e covid-19: cosa sappiamo 
una visione narrativa di cosa sta succedendo
f. marchetti, c. guiducci 
medico e bambino 2020;39(5):297-299 
link
(ad accesso… link"
2,"i danneggiati da vaccino esistono, famiglie e bambini distrutti dal dolore. #libertdiscelta link"
2,"user user risulta che tutti coloro che hanno fatto il vaccino antinfluenzale...si siano ammalati di covid 19 vuoi vedere che era nel vaccino?"
2,"tutti aspettano come una liberazione il vaccino, dimenticando che: 
1° il vaccino viene sviluppato sulla base delle proiezioni teoriche sui virus in circolo l’anno precedente e dunque imprevedibili. 
2° la forte variabilità di un #coronavirus di cui esistono già diverse varianti. link"
0,"user dopo il vaccino almeno per due anni dovremo tutti comprare italiano aiutare i lavoratori i piccoli negozi e fare le vacanze in italia"
0,"coronavirus, burioni: bene terapia plasma, ma meglio il vaccino link"
1,"entro fine anno disponibile il vaccino anti covid-19 link"
0,"annunciati oggi i primi risultati promettenti di un candidato vaccino covid 19 link"
0,"comunque la frase ""andrà tutto bene"" sta iniziando a starmi sul cazzo. siamo sinceri, qua andrà tutto bene solo quando si troverà una cura ed un vaccino contro il noto covid..."
1,"coronavirus: da menarini kit per test rapidi in 20 minuti -link
che strano che in meno di poche settimane, si studi un prodotto che ha pure gia la certificazione ce quando solitamente servono mesi per ottenerla....
il vaccino a luglio??"
0,"qui stanno a parlare di finire questo campionato di #seriea .. quando poi non si rendono conto che potrebbe non partire neanche la prossima stagione. credo che la cosa sia chiara.. finché non ci sarà il vaccino nulla tornerà più come prima. spero di sbagliare."
2,"#zingarettinonmisiringa
tribunali pieni di cause per danni da vaccino
no all'obbligo !
resistere per restare liberi
modena, “neonato disabile per vaccino”: il tar impone al ministero della salute risarcimento per “danni da esavalente” link di user"
2,"#testimonianze salve a tutti sono la mamma di diego bimbo di 3 anni e mezzo affetto da autismo da quando il 10 ottobre 2017 all et� di 20 mesi feci fare il #vaccino #mpr (morbillo parotite rosolia)da li ebbe inizio tutto dopo 2 mesi il 24 dicembre 2017 si manifesta il"
2,"e anche questanno il #vaccino antinfluenzale non  servito a niente visto che sono molto pi diffusi i virus parainfluenzali   complimenti alle regioni che continuano a buttare soldi per effettuare la campagna di vaccinazione ogni anno  #lascienza  link link"
2,"se volete continuare a farvi prendere in giro mentre mettono in pericolo la vita o la salute dei vostri figli fate pure. accomodatevi! io no, grazie! link"
2,"asl di #reggioemilia ssr #emiliaromagna questo invito alla vaccinazione per un #vaccino non obbligatorio  da denuncia! siete dei criminali venduti alla #gsk e i genitori che accettato sono imbecilli perch non si informano! link"
1,"ma siamo sicuri?

user annuncia obbligo mascherine fino a vaccino.

se solo 1/4 cittadini uscisse quotidianamente nell'anno che manca, occorrerebbero 5,5 miliardi di mascherine chirurgiche usa e getta.

avrà  pensato a dove trovarle?

legittimo dubbio."
1,"e' il top: l'approccio anti betaamiloidi  fallito in tutte le salse (anche sui soggetti appena dignosticati), e cosa si fa? pi approccio antibetaa, preventivo, con un vaccino che ha dato risultati sul topo. link"
