2,"antidiplomatico:""non si tratta di pro-vax e no-vax"": la discriminazione come metodo educativo e la retorica dell'inclusione link 11"
2,"user user questo lo potremo dire con sicurezza in autunno,nessuno in questo momento mi sta garantendo che il vaccino funziona,i dati dell'anno scorso in questo periodo non sono tanto diversi"
0,"user_lorenzo user mi ha chiarito maggiormente che non sono d’accordo. oltre ad aver fatto altri paragoni fuori contesto (monaco anni ‘20) è poco felici, con un linguaggio che non si addice alla sua carica, ha fatto un sacco di disinformazione sui vaccini. link"
1,"queste che vedete in fila sotto la pioggia sono decine di soggetti fragili in attesa del vaccino in fiera. basterebbero un paio di gazebo, ma la ⁦user⁩ dov’è? #palermo #sicilia #vaccini  link"
2,"user sicuramente l'obiettivo è questo, ma dobbiamo ancora capire come faranno a passare dal vaccino al credit score. sicuramente il vaccino è 1 tassello per elevarsi nella classifica. ma manca ancora qualcosa, ci vuole qualcosa che ""cracki"" il sistema inconscio italiano"
0,"mario draghi: chi rifiuta il vaccino sostenga i costi della propria ospedalizzazione! - firma la petizione! link via user"
2,"neppure se toccati personalmente ammettono l’irrazionalità di ciò che subiscono e che impongono.
una #politica morta, miope, subordinata ai militari come #figliuolo.
#zingaretti #vaccini #greenpass #covid19  #greenpassobbligatorio link"
1,"user il vaccino per il covid c’è, ma quello per la stupidità non l’hanno ancora inventato"
1,"#vaccini anti #covid19 in italia, aggiornamento del 11/04/2021 ore 11:28
andamento delle somministrazioni per classe di età.
#covid_19 #vaccinaitalia #astrazeneca #coronavirus #pfizer #modernavaccine link"
1,"al momento sono 29.969.854 le dosi di vaccino somministrate alla popolazione italiana, mentre 9.759.934 persone hanno concluso il ciclo vaccinale sul territorio nazionale (16,47% della popolazione)."
1,"#vaccini domani, 5 maggio, sul portale della regione #toscana aprono le agende per prenotare il johnson&amp;johnson per chi ha più di 65 anni
link user"
1,"manifestazione dei ""no green pass"" a milano: circa mille persone sfilano per le vie del centro al grido di ""non sono vaccini, ma sieri assassini"" - il fatto quotidiano link"
